"Taxon","Statistic","p_value"
"Taxa_001",0,0
"Taxa_002",0,0
"Taxa_003",0,0
"Taxa_004",0,0
"Taxa_005",0,0
"Taxa_006",0,0
"Taxa_007",0,0
"Taxa_008",0,0
"Taxa_009",0,0
"Taxa_010",0,0
"Taxa_011",0,0
"Taxa_012",0,0
"Taxa_013",0,0
"Taxa_014",0,0
"Taxa_015",0,0
"Taxa_016",0,0
"Taxa_017",0,0
"Taxa_018",0,0
"Taxa_019",0,0
"Taxa_020",0,0
"Taxa_021",0,0
"Taxa_022",0,0
"Taxa_023",0,0
"Taxa_024",0,0
"Taxa_025",0,0
"Taxa_026",0,0
"Taxa_027",0,0
"Taxa_028",0,0
"Taxa_029",0,0
"Taxa_030",0,0
"Taxa_031",0,0
"Taxa_032",0,0
"Taxa_033",0,0
"Taxa_034",0,0
"Taxa_035",0,0
"Taxa_036",0,0
"Taxa_037",0,0
"Taxa_038",0,0
"Taxa_039",0,0
"Taxa_040",0,0
"Taxa_041",0,0
"Taxa_042",0,0
"Taxa_043",0,0
"Taxa_044",0,0
"Taxa_045",0,0
"Taxa_046",0,0
"Taxa_047",0,0
"Taxa_048",0,0
"Taxa_049",0,0
"Taxa_050",0,0
"Taxa_051",0,0
"Taxa_052",0,0
"Taxa_053",0,0
"Taxa_054",0,0
"Taxa_055",0,0
"Taxa_056",0,0
"Taxa_057",0,0
"Taxa_058",0,0
"Taxa_059",0,0
"Taxa_060",0,0
"Taxa_061",0,0
"Taxa_062",0,0
"Taxa_063",0,0
"Taxa_064",0,0
"Taxa_065",0,0
"Taxa_066",0,0
"Taxa_067",0,0
"Taxa_068",0,0
"Taxa_069",0,0
"Taxa_070",0,0
"Taxa_071",0,0
"Taxa_072",0,0
"Taxa_073",0,0
"Taxa_074",0,0
"Taxa_075",0,0
"Taxa_076",0,0
"Taxa_077",0,0
"Taxa_078",0,0
"Taxa_079",0,0
"Taxa_080",0,0
"Taxa_081",0,0
"Taxa_082",0,0
"Taxa_083",0,0
"Taxa_084",0,0
"Taxa_085",0,0
"Taxa_086",0,0
"Taxa_087",0,0
"Taxa_088",0,0
"Taxa_089",0,0
"Taxa_090",0,0
"Taxa_091",0,0
"Taxa_092",0,0
"Taxa_093",0,0
"Taxa_094",0,0
"Taxa_095",0,0
"Taxa_096",0,0
"Taxa_097",0,0
"Taxa_098",0,0
"Taxa_099",0,0
"Taxa_100",0,0
"Taxa_101",0,0
"Taxa_102",0,0
"Taxa_103",0,0
"Taxa_104",0,0
"Taxa_105",0,0
"Taxa_106",0,0
"Taxa_107",0,0
"Taxa_108",0,0
"Taxa_109",0,0
"Taxa_110",0,0
"Taxa_111",0,0
"Taxa_112",0,0
"Taxa_113",0,0
"Taxa_114",0,0
"Taxa_115",0,0
"Taxa_116",0,0
"Taxa_117",0,0
"Taxa_118",0,0
"Taxa_119",0,0
"Taxa_120",0,0
"Taxa_121",0,0
"Taxa_122",0,0
"Taxa_123",0,0
"Taxa_124",0,0
"Taxa_125",0,0
"Taxa_126",0,0
"Taxa_127",0,0
"Taxa_128",0,0
"Taxa_129",0,0
"Taxa_130",0,0
"Taxa_131",0,0
"Taxa_132",0,0
"Taxa_133",0,0
"Taxa_134",0,0
"Taxa_135",0,0
"Taxa_136",0,0
"Taxa_137",0,0
"Taxa_138",0,0
"Taxa_139",0,0
"Taxa_140",0,0
"Taxa_141",0,0
"Taxa_142",0,0
"Taxa_143",0,0
"Taxa_144",0,0
"Taxa_145",0,0
"Taxa_146",0,0
"Taxa_147",0,0
"Taxa_148",0,0
"Taxa_149",0,0
"Taxa_150",0,0
"Taxa_151",0,0
"Taxa_152",0,0
"Taxa_153",0,0
"Taxa_154",0,0
"Taxa_155",0,0
"Taxa_156",0,0
"Taxa_157",0,0
"Taxa_158",0,0
"Taxa_159",0,0
"Taxa_160",0,0
"Taxa_161",0,0
"Taxa_162",0,0
"Taxa_163",0,0
"Taxa_164",0,0
"Taxa_165",0,0
"Taxa_166",0,0
"Taxa_167",0,0
"Taxa_168",0,0
"Taxa_169",0,0
"Taxa_170",0,0
"Taxa_171",0,0
"Taxa_172",0,0
"Taxa_173",0,0
"Taxa_174",0,0
"Taxa_175",0,0
"Taxa_176",0,0
"Taxa_177",0,0
"Taxa_178",0,0
"Taxa_179",0,0
"Taxa_180",0,0
"Taxa_181",0,0
"Taxa_182",0,0
"Taxa_183",0,0
"Taxa_184",0,0
"Taxa_185",0,0
"Taxa_186",0,0
"Taxa_187",0,0
"Taxa_188",0,0
"Taxa_189",0,0
"Taxa_190",0,0
"Taxa_191",0,0
"Taxa_192",0,0
"Taxa_193",0,0
"Taxa_194",0,0
"Taxa_195",0,0
"Taxa_196",0,0
"Taxa_197",0,0
"Taxa_198",0,0
"Taxa_199",0,0
"Taxa_200",0,0
"Taxa_201",0,0
"Taxa_202",0,0
"Taxa_203",0,0
"Taxa_204",0,0
"Taxa_205",0,0
"Taxa_206",0,0
"Taxa_207",0,0
"Taxa_208",0,0
"Taxa_209",0,0
"Taxa_210",0,0
"Taxa_211",0,0
"Taxa_212",0,0
"Taxa_213",0,0
"Taxa_214",0,0
"Taxa_215",0,0
"Taxa_216",0,0
"Taxa_217",0,0
"Taxa_218",0,0
"Taxa_219",0,0
"Taxa_220",0,0
"Taxa_221",0,0
"Taxa_222",0,0
"Taxa_223",0,0
"Taxa_224",0,0
"Taxa_225",0,0
"Taxa_226",0,0
"Taxa_227",0,0
"Taxa_228",0,0
"Taxa_229",0,0
"Taxa_230",0,0
"Taxa_231",0,0
"Taxa_232",0,0
"Taxa_233",0,0
"Taxa_234",0,0
"Taxa_235",0,0
"Taxa_236",0,0
"Taxa_237",0,0
"Taxa_238",0,0
"Taxa_239",0,0
"Taxa_240",0,0
"Taxa_241",0,0
"Taxa_242",0,0
"Taxa_243",0,0
"Taxa_244",0,0
"Taxa_245",0,0
"Taxa_246",0,0
"Taxa_247",0,0
"Taxa_248",0,0
"Taxa_249",0,0
"Taxa_250",0,0
"Taxa_251",0,0
"Taxa_252",0,0
"Taxa_253",0,0
"Taxa_254",0,0
"Taxa_255",0,0
"Taxa_256",0,0
"Taxa_257",0,0
"Taxa_258",0,0
"Taxa_259",0,0
"Taxa_260",0,0
"Taxa_261",0,0
"Taxa_262",0,0
"Taxa_263",0,0
"Taxa_264",0,0
"Taxa_265",0,0
"Taxa_266",0,0
"Taxa_267",0,0
"Taxa_268",0,0
"Taxa_269",0,0
"Taxa_270",0,0
"Taxa_271",0,0
"Taxa_272",0,0
"Taxa_273",0,0
"Taxa_274",0,0
"Taxa_275",0,0
"Taxa_276",0,0
"Taxa_277",0,0
"Taxa_278",0,0
"Taxa_279",0,0
"Taxa_280",0,0
"Taxa_281",0,0
"Taxa_282",0,0
"Taxa_283",0,0
"Taxa_284",0,0
"Taxa_285",0,0
"Taxa_286",0,0
"Taxa_287",0,0
"Taxa_288",0,0
"Taxa_289",0,0
"Taxa_290",0,0
"Taxa_291",0,0
"Taxa_292",0,0
"Taxa_293",0,0
